Programme,Country,Region,Year,Quarter,Period,Budget_USD,Expenditure_USD,Budget_Utilization_Pct,Target_Output,Actual_Output,Output_Achievement_Pct,Outcome_Score_1to5,Community_Feedback_Score,Complaints_Received,Complaints_Resolved
Community Health,Tanzania,East Africa,2022,Q1,2022-Q1,75863,73876,97.4,7997,8002,100.1,4.4,4.4,0,9
Community Health,Tanzania,East Africa,2022,Q2,2022-Q2,253169,249689,98.6,25587,19060,74.5,3.5,3.3,24,8
Community Health,Tanzania,East Africa,2022,Q3,2022-Q3,73598,63933,86.9,10683,9931,93.0,3.0,4.0,2,5
Community Health,Tanzania,East Africa,2022,Q4,2022-Q4,245957,178288,72.5,31415,34348,109.3,3.6,4.3,17,17
Community Health,Tanzania,East Africa,2023,Q1,2023-Q1,288666,259246,89.8,28741,22268,77.5,3.2,3.4,3,0
Community Health,Tanzania,East Africa,2023,Q2,2023-Q2,66986,61181,91.3,25194,16055,63.7,4.8,3.7,17,2
Community Health,Tanzania,East Africa,2023,Q3,2023-Q3,332960,299834,90.1,41193,25695,62.4,2.7,4.0,25,10
Community Health,Tanzania,East Africa,2023,Q4,2023-Q4,472837,304320,64.4,27246,18430,67.6,3.1,3.6,0,9
Community Health,Tanzania,East Africa,2024,Q1,2024-Q1,236955,218835,92.4,27414,21750,79.3,4.6,4.7,24,2
Community Health,Tanzania,East Africa,2024,Q2,2024-Q2,400026,362367,90.6,38669,37029,95.8,2.9,4.4,7,18
Community Health,Tanzania,East Africa,2024,Q3,2024-Q3,293208,286760,97.8,13113,8914,68.0,3.8,4.3,21,12
Community Health,Tanzania,East Africa,2024,Q4,2024-Q4,108867,87553,80.4,11099,11481,103.4,2.8,3.6,8,9
Community Health,Tanzania,East Africa,2025,Q1,2025-Q1,160722,148018,92.1,34317,28505,83.1,4.2,4.5,4,2
Community Health,Tanzania,East Africa,2025,Q2,2025-Q2,107664,99565,92.5,30486,27470,90.1,4.9,3.6,8,13
Community Health,Tanzania,East Africa,2025,Q3,2025-Q3,177156,167129,94.3,33734,30707,91.0,4.4,4.4,25,2
Community Health,Tanzania,East Africa,2025,Q4,2025-Q4,209333,146726,70.1,18495,13717,74.2,4.7,3.3,7,20
Community Health,Somalia,East Africa,2021,Q1,2021-Q1,279943,173971,62.1,40915,33527,81.9,4.6,3.8,19,6
Community Health,Somalia,East Africa,2021,Q2,2021-Q2,260051,173535,66.7,9010,10100,112.1,4.6,4.1,4,9
Community Health,Somalia,East Africa,2021,Q3,2021-Q3,23548,15910,67.6,27932,24123,86.4,4.0,3.9,10,19
Community Health,Somalia,East Africa,2021,Q4,2021-Q4,219171,204154,93.1,23596,26450,112.1,4.6,4.4,14,10
Community Health,Somalia,East Africa,2022,Q1,2022-Q1,245766,157821,64.2,44666,41135,92.1,4.2,3.7,19,4
Community Health,Somalia,East Africa,2022,Q2,2022-Q2,177514,168942,95.2,23015,22798,99.1,4.3,3.2,19,6
Community Health,Somalia,East Africa,2022,Q3,2022-Q3,271139,206909,76.3,22590,19447,86.1,4.1,3.5,5,12
Community Health,Somalia,East Africa,2022,Q4,2022-Q4,187320,131033,70.0,21100,18527,87.8,4.9,3.6,23,20
Community Health,Somalia,East Africa,2023,Q1,2023-Q1,277429,252516,91.0,39740,27683,69.7,2.5,4.1,25,7
Community Health,Somalia,East Africa,2023,Q2,2023-Q2,190858,189008,99.0,26645,21437,80.5,3.4,3.7,8,12
Community Health,Somalia,East Africa,2023,Q3,2023-Q3,211373,155916,73.8,9463,4179,44.2,4.7,4.0,18,6
Community Health,Somalia,East Africa,2023,Q4,2023-Q4,330497,265423,80.3,37758,37432,99.1,2.8,5.0,5,17
Community Health,Somalia,East Africa,2024,Q1,2024-Q1,34111,23877,70.0,49658,43809,88.2,4.0,3.8,14,6
Community Health,Somalia,East Africa,2024,Q2,2024-Q2,249876,192123,76.9,21092,16150,76.6,4.5,3.4,22,2
Community Health,Somalia,East Africa,2024,Q3,2024-Q3,449373,417063,92.8,28813,20188,70.1,3.6,3.5,21,15
Community Health,Somalia,East Africa,2024,Q4,2024-Q4,92969,83750,90.1,43506,48904,112.4,3.8,3.6,9,7
Community Health,Somalia,East Africa,2025,Q1,2025-Q1,152477,127839,83.8,45166,38372,85.0,4.8,3.7,4,13
Community Health,Somalia,East Africa,2025,Q2,2025-Q2,433703,269716,62.2,26706,22784,85.3,3.0,3.8,2,14
Community Health,Somalia,East Africa,2025,Q3,2025-Q3,333489,229391,68.8,33407,30795,92.2,2.9,3.2,18,12
Community Health,Somalia,East Africa,2025,Q4,2025-Q4,300162,188214,62.7,35201,33509,95.2,4.3,4.9,22,13
Community Health,Nigeria,West Africa,2021,Q1,2021-Q1,305026,235545,77.2,4409,3770,85.5,3.4,3.7,25,11
Community Health,Nigeria,West Africa,2021,Q2,2021-Q2,387858,329110,84.9,37186,25796,69.4,4.3,3.2,19,20
Community Health,Nigeria,West Africa,2021,Q3,2021-Q3,499409,306755,61.4,7569,6312,83.4,4.5,3.7,3,7
Community Health,Nigeria,West Africa,2021,Q4,2021-Q4,364772,283673,77.8,45561,35625,78.2,4.2,4.0,11,5
Community Health,Nigeria,West Africa,2022,Q1,2022-Q1,359214,339305,94.5,42152,34486,81.8,5.0,4.0,1,18
Community Health,Nigeria,West Africa,2022,Q2,2022-Q2,358182,356304,99.5,46398,49907,107.6,4.4,3.5,20,12
Community Health,Nigeria,West Africa,2022,Q3,2022-Q3,414622,338065,81.5,23731,21197,89.3,3.4,3.0,25,13
Community Health,Nigeria,West Africa,2022,Q4,2022-Q4,75545,57519,76.1,2691,2060,76.6,3.1,4.6,3,8
Community Health,Nigeria,West Africa,2023,Q1,2023-Q1,136392,100238,73.5,35467,24487,69.0,3.1,3.1,23,16
Community Health,Nigeria,West Africa,2023,Q2,2023-Q2,312549,210923,67.5,40044,29293,73.2,3.9,3.6,22,18
Community Health,Nigeria,West Africa,2023,Q3,2023-Q3,135884,104217,76.7,31214,30839,98.8,4.8,4.0,11,12
Community Health,Nigeria,West Africa,2023,Q4,2023-Q4,262778,192369,73.2,46535,37451,80.5,2.8,4.9,18,16
Community Health,Nigeria,West Africa,2024,Q1,2024-Q1,99033,61805,62.4,24607,17016,69.2,3.3,3.3,0,15
Community Health,Nigeria,West Africa,2024,Q2,2024-Q2,74813,68324,91.3,21361,14765,69.1,2.8,4.3,13,2
Community Health,Nigeria,West Africa,2024,Q3,2024-Q3,80853,52517,65.0,49851,46000,92.3,3.9,3.2,4,11
Community Health,Nigeria,West Africa,2024,Q4,2024-Q4,183520,180249,98.2,24483,19092,78.0,3.1,4.7,14,6
Community Health,Nigeria,West Africa,2025,Q1,2025-Q1,293214,195727,66.8,33649,36525,108.5,4.8,4.8,11,15
Community Health,Nigeria,West Africa,2025,Q2,2025-Q2,71182,66046,92.8,30715,26423,86.0,4.7,3.4,23,14
Community Health,Nigeria,West Africa,2025,Q3,2025-Q3,187200,133599,71.4,6402,4623,72.2,3.5,4.1,9,1
Community Health,Nigeria,West Africa,2025,Q4,2025-Q4,444770,295305,66.4,48581,30634,63.1,4.2,3.3,3,0
Community Health,Ghana,West Africa,2021,Q1,2021-Q1,465214,336872,72.4,24483,26120,106.7,4.3,4.3,20,3
Community Health,Ghana,West Africa,2021,Q2,2021-Q2,375016,248376,66.2,12771,10886,85.2,3.9,3.2,23,7
Community Health,Ghana,West Africa,2021,Q3,2021-Q3,290529,218171,75.1,13432,10402,77.4,3.2,4.9,17,5
Community Health,Ghana,West Africa,2021,Q4,2021-Q4,193533,189943,98.1,38690,32337,83.6,3.4,3.1,13,14
Community Health,Ghana,West Africa,2022,Q1,2022-Q1,141559,95076,67.2,28545,26649,93.4,2.9,4.5,20,5
Community Health,Ghana,West Africa,2022,Q2,2022-Q2,117720,75749,64.3,43974,36493,83.0,5.0,3.8,21,13
Community Health,Ghana,West Africa,2022,Q3,2022-Q3,227399,206954,91.0,3913,4028,102.9,3.0,3.3,23,19
Community Health,Ghana,West Africa,2022,Q4,2022-Q4,482997,471031,97.5,14931,9385,62.9,4.8,4.8,14,18
Community Health,Ghana,West Africa,2023,Q1,2023-Q1,245209,208470,85.0,27482,18209,66.3,4.1,3.7,0,6
Community Health,Ghana,West Africa,2023,Q2,2023-Q2,127890,84331,65.9,20241,13840,68.4,4.0,4.6,24,2
Community Health,Ghana,West Africa,2023,Q3,2023-Q3,322696,242941,75.3,8668,7006,80.8,3.1,3.6,25,17
Community Health,Ghana,West Africa,2023,Q4,2023-Q4,118020,101157,85.7,25972,20762,79.9,4.0,4.4,10,6
Community Health,Ghana,West Africa,2024,Q1,2024-Q1,259888,193616,74.5,9468,7355,77.7,3.7,4.6,8,15
Community Health,Ghana,West Africa,2024,Q2,2024-Q2,296674,199383,67.2,43884,40814,93.0,2.8,4.8,10,19
Community Health,Ghana,West Africa,2024,Q3,2024-Q3,223758,164948,73.7,42062,28749,68.3,2.6,4.2,12,18
Community Health,Ghana,West Africa,2024,Q4,2024-Q4,79890,55629,69.6,24801,25348,102.2,3.5,3.2,11,14
Community Health,Ghana,West Africa,2025,Q1,2025-Q1,343675,226435,65.9,13306,10239,77.0,4.8,3.0,21,9
Community Health,Ghana,West Africa,2025,Q2,2025-Q2,342166,271523,79.4,40677,32964,81.0,2.8,3.6,2,4
Community Health,Ghana,West Africa,2025,Q3,2025-Q3,184199,178751,97.0,9724,9232,94.9,3.9,4.8,7,9
Community Health,Ghana,West Africa,2025,Q4,2025-Q4,81314,66807,82.2,13996,10202,72.9,3.8,3.4,11,4
Community Health,Senegal,West Africa,2021,Q1,2021-Q1,287819,191828,66.6,27458,22325,81.3,3.4,4.5,13,19
Community Health,Senegal,West Africa,2021,Q2,2021-Q2,92282,67876,73.6,39670,37264,93.9,4.9,4.5,12,13
Community Health,Senegal,West Africa,2021,Q3,2021-Q3,117388,98485,83.9,33894,27588,81.4,3.1,4.5,20,17
Community Health,Senegal,West Africa,2021,Q4,2021-Q4,383558,371162,96.8,44287,26550,59.9,3.6,3.7,5,17
Community Health,Senegal,West Africa,2022,Q1,2022-Q1,107485,105831,98.5,34089,26030,76.4,3.4,4.8,9,4
Community Health,Senegal,West Africa,2022,Q2,2022-Q2,118093,97731,82.8,22616,9386,41.5,4.4,4.6,14,19
Community Health,Senegal,West Africa,2022,Q3,2022-Q3,48107,35442,73.7,25529,26107,102.3,3.4,4.6,0,15
Community Health,Senegal,West Africa,2022,Q4,2022-Q4,91583,89421,97.6,14787,12083,81.7,4.1,4.5,12,17
Community Health,Senegal,West Africa,2023,Q1,2023-Q1,284995,262776,92.2,44799,35843,80.0,2.6,3.8,15,13
Community Health,Senegal,West Africa,2023,Q2,2023-Q2,378978,329522,87.0,34225,34706,101.4,3.6,4.5,13,14
Community Health,Senegal,West Africa,2023,Q3,2023-Q3,276219,205173,74.3,12961,8809,68.0,4.4,4.1,2,18
Community Health,Senegal,West Africa,2023,Q4,2023-Q4,36179,24660,68.2,16452,15188,92.3,3.2,4.5,9,1
Community Health,Senegal,West Africa,2024,Q1,2024-Q1,164102,130139,79.3,16735,12005,71.7,4.7,4.1,17,9
Community Health,Senegal,West Africa,2024,Q2,2024-Q2,108189,95521,88.3,31971,14762,46.2,3.1,3.9,18,15
Community Health,Senegal,West Africa,2024,Q3,2024-Q3,308214,200147,64.9,35476,34159,96.3,4.6,4.1,3,18
Community Health,Senegal,West Africa,2024,Q4,2024-Q4,79877,52819,66.1,19556,13139,67.2,4.3,4.2,24,17
Community Health,Senegal,West Africa,2025,Q1,2025-Q1,451637,403086,89.2,26042,14868,57.1,4.1,3.1,17,1
Community Health,Senegal,West Africa,2025,Q2,2025-Q2,418461,401286,95.9,49119,48118,98.0,2.8,3.7,14,17
Community Health,Senegal,West Africa,2025,Q3,2025-Q3,134578,124659,92.6,29862,18011,60.3,3.7,4.7,3,20
Community Health,Senegal,West Africa,2025,Q4,2025-Q4,413921,304646,73.6,18222,19603,107.6,4.7,3.2,9,1
Community Health,Ivory Coast,West Africa,2021,Q1,2021-Q1,255789,232951,91.1,19223,15391,80.1,3.6,3.3,11,2
Community Health,Ivory Coast,West Africa,2021,Q2,2021-Q2,250199,220836,88.3,9693,8761,90.4,3.8,4.3,24,7
Community Health,Ivory Coast,West Africa,2021,Q3,2021-Q3,130036,88241,67.9,40530,38281,94.5,4.6,4.3,22,11
Community Health,Ivory Coast,West Africa,2021,Q4,2021-Q4,471437,364966,77.4,48579,27616,56.8,4.9,4.4,19,20
Community Health,Ivory Coast,West Africa,2022,Q1,2022-Q1,244482,237652,97.2,12877,7682,59.7,2.6,4.5,19,4
Community Health,Ivory Coast,West Africa,2022,Q2,2022-Q2,431487,279828,64.9,15541,13660,87.9,3.3,4.1,6,1
Community Health,Ivory Coast,West Africa,2022,Q3,2022-Q3,318883,263322,82.6,24991,16930,67.7,3.4,4.2,17,8
Community Health,Ivory Coast,West Africa,2022,Q4,2022-Q4,332925,328905,98.8,37308,33651,90.2,4.3,4.8,5,10
Community Health,Ivory Coast,West Africa,2023,Q1,2023-Q1,389126,352114,90.5,21178,13952,65.9,4.2,4.2,9,18
Community Health,Ivory Coast,West Africa,2023,Q2,2023-Q2,160164,134695,84.1,35712,32388,90.7,3.7,4.1,21,3
Community Health,Ivory Coast,West Africa,2023,Q3,2023-Q3,91087,66837,73.4,28974,18489,63.8,4.5,3.4,1,8
Community Health,Ivory Coast,West Africa,2023,Q4,2023-Q4,474582,300878,63.4,44984,38844,86.4,3.6,4.3,4,4
Community Health,Ivory Coast,West Africa,2024,Q1,2024-Q1,150902,116962,77.5,11584,10617,91.7,3.4,4.9,22,10
Community Health,Ivory Coast,West Africa,2024,Q2,2024-Q2,454363,440304,96.9,18223,10836,59.5,3.8,3.7,24,12
Community Health,Ivory Coast,West Africa,2024,Q3,2024-Q3,276617,247531,89.5,11317,9568,84.5,3.3,4.8,18,20
Community Health,Ivory Coast,West Africa,2024,Q4,2024-Q4,160885,97303,60.5,43144,33138,76.8,3.9,4.5,13,12
Community Health,Ivory Coast,West Africa,2025,Q1,2025-Q1,256973,204038,79.4,6949,8398,120.9,3.1,4.0,20,2
Community Health,Ivory Coast,West Africa,2025,Q2,2025-Q2,231209,178414,77.2,35791,32446,90.7,2.7,3.2,23,8
Community Health,Ivory Coast,West Africa,2025,Q3,2025-Q3,384224,359245,93.5,26187,19450,74.3,3.8,4.5,14,15
Community Health,Ivory Coast,West Africa,2025,Q4,2025-Q4,191593,119703,62.5,40139,30446,75.9,3.9,3.2,0,2
Community Health,Mali,West Africa,2021,Q1,2021-Q1,403218,247811,61.5,32044,32897,102.7,3.2,3.8,20,11
Community Health,Mali,West Africa,2021,Q2,2021-Q2,465700,286856,61.6,6150,5031,81.8,3.6,4.2,25,17
Community Health,Mali,West Africa,2021,Q3,2021-Q3,228517,189294,82.8,16275,10818,66.5,2.8,3.7,13,6
Community Health,Mali,West Africa,2021,Q4,2021-Q4,279373,178742,64.0,19598,13359,68.2,4.4,4.9,10,9
Community Health,Mali,West Africa,2022,Q1,2022-Q1,197080,194720,98.8,37868,33781,89.2,4.3,3.6,18,4
Community Health,Mali,West Africa,2022,Q2,2022-Q2,316821,270029,85.2,33807,33888,100.2,3.6,4.0,25,10
Community Health,Mali,West Africa,2022,Q3,2022-Q3,488794,441435,90.3,46731,32966,70.5,4.8,3.1,24,1
Community Health,Mali,West Africa,2022,Q4,2022-Q4,44087,35016,79.4,8525,5769,67.7,4.8,4.2,20,14
Community Health,Mali,West Africa,2023,Q1,2023-Q1,28536,23358,81.9,10142,7448,73.4,4.6,4.1,5,14
Community Health,Mali,West Africa,2023,Q2,2023-Q2,259346,209006,80.6,2044,1360,66.5,2.7,3.0,13,6
Community Health,Mali,West Africa,2023,Q3,2023-Q3,381020,375485,98.5,10645,11235,105.5,2.7,4.4,20,9
Community Health,Mali,West Africa,2023,Q4,2023-Q4,103349,100561,97.3,19958,12075,60.5,3.9,3.3,2,20
Community Health,Mali,West Africa,2024,Q1,2024-Q1,208971,174007,83.3,18409,14263,77.5,4.7,4.3,2,11
Community Health,Mali,West Africa,2024,Q2,2024-Q2,368393,353546,96.0,44527,47376,106.4,4.1,3.3,5,1
Community Health,Mali,West Africa,2024,Q3,2024-Q3,227797,164896,72.4,42999,41474,96.5,3.3,3.4,9,7
Community Health,Mali,West Africa,2024,Q4,2024-Q4,245040,221168,90.3,44957,45815,101.9,3.7,3.5,2,3
Community Health,Mali,West Africa,2025,Q1,2025-Q1,20569,17414,84.7,15986,13365,83.6,3.7,3.3,15,2
Community Health,Mali,West Africa,2025,Q2,2025-Q2,89572,89022,99.4,40907,33262,81.3,3.0,3.3,7,16
Community Health,Mali,West Africa,2025,Q3,2025-Q3,376506,256556,68.1,31167,24587,78.9,3.9,3.0,0,0
Community Health,Mali,West Africa,2025,Q4,2025-Q4,384693,236113,61.4,24516,26249,107.1,3.6,4.6,3,13
Community Health,DRC,Central Africa,2021,Q1,2021-Q1,383872,366250,95.4,10662,9190,86.2,4.8,3.8,15,2
Community Health,DRC,Central Africa,2021,Q2,2021-Q2,140034,130487,93.2,27104,19545,72.1,2.8,4.9,2,3
Community Health,DRC,Central Africa,2021,Q3,2021-Q3,74107,66738,90.1,22535,19719,87.5,3.4,4.9,11,9
Community Health,DRC,Central Africa,2021,Q4,2021-Q4,91895,65266,71.0,27082,24715,91.3,3.3,4.4,24,4
Community Health,DRC,Central Africa,2022,Q1,2022-Q1,356370,322916,90.6,46376,43936,94.7,2.7,3.8,4,2
Community Health,DRC,Central Africa,2022,Q2,2022-Q2,298139,212604,71.3,38915,37812,97.2,3.3,5.0,0,19
Community Health,DRC,Central Africa,2022,Q3,2022-Q3,360797,309243,85.7,12755,13160,103.2,3.6,4.7,14,11
Community Health,DRC,Central Africa,2022,Q4,2022-Q4,398762,268072,67.2,15962,12386,77.6,4.9,3.4,20,4
Community Health,DRC,Central Africa,2023,Q1,2023-Q1,235854,172288,73.0,42375,32280,76.2,4.0,3.9,21,14
Community Health,DRC,Central Africa,2023,Q2,2023-Q2,470868,422344,89.7,16237,17255,106.3,3.1,3.1,2,3
Community Health,DRC,Central Africa,2023,Q3,2023-Q3,93407,67250,72.0,10071,6639,65.9,3.4,3.8,18,12
Community Health,DRC,Central Africa,2023,Q4,2023-Q4,204305,127273,62.3,30140,25174,83.5,4.0,4.8,10,4
Community Health,DRC,Central Africa,2024,Q1,2024-Q1,149911,99045,66.1,20151,22219,110.3,3.5,4.4,20,2
Community Health,DRC,Central Africa,2024,Q2,2024-Q2,150110,114727,76.4,38267,38267,100.0,3.8,3.0,19,19
Community Health,DRC,Central Africa,2024,Q3,2024-Q3,398105,349013,87.7,41819,33778,80.8,3.4,5.0,9,0
Community Health,DRC,Central Africa,2024,Q4,2024-Q4,464539,356902,76.8,45149,39043,86.5,3.8,4.8,9,6
Community Health,DRC,Central Africa,2025,Q1,2025-Q1,291449,258487,88.7,41775,43893,105.1,4.7,3.9,16,6
Community Health,DRC,Central Africa,2025,Q2,2025-Q2,412085,325565,79.0,27673,25052,90.5,3.5,4.9,9,20
Community Health,DRC,Central Africa,2025,Q3,2025-Q3,48609,42720,87.9,17685,13000,73.5,3.9,3.8,15,12
Community Health,DRC,Central Africa,2025,Q4,2025-Q4,79110,75241,95.1,17799,15036,84.5,3.0,4.7,15,20
Community Health,Cameroon,Central Africa,2021,Q1,2021-Q1,331390,272758,82.3,6653,3796,57.1,3.7,4.7,16,0
Community Health,Cameroon,Central Africa,2021,Q2,2021-Q2,209319,151120,72.2,22740,19712,86.7,3.0,3.3,4,12
Community Health,Cameroon,Central Africa,2021,Q3,2021-Q3,471314,338942,71.9,39249,32461,82.7,3.1,3.3,13,11
