Country,Region,Year,S2030_Outcome,Indicator,Baseline_Value,Target_Value,Actual_Value,Achievement_Pct,Change_from_Baseline_Pct,Data_Source,Measurement_Method,Confidence_Level
Ethiopia,East Africa,2025,Economic Security,HHs with improved income,4230,6223,7271,116.8,71.9,Survey,Direct Count,Medium
Ethiopia,East Africa,2025,Economic Security,Savings group members,2698,3252,3215,98.9,19.2,Survey,Household Survey,Low
Ethiopia,East Africa,2025,Economic Security,Jobs created or maintained,7616,10270,6487,63.2,-14.8,Partner Report,Key Informant,Medium
Uganda,East Africa,2021,Climate & Environment,Communities with DRR plans,1909,2135,1265,59.3,-33.7,Partner Report,Key Informant,Medium
Uganda,East Africa,2021,Climate & Environment,Early warning systems active,4676,6541,7368,112.6,57.6,Admin Records,Direct Count,High
Uganda,East Africa,2021,Climate & Environment,Hectares of land restored,7853,11176,12490,111.8,59.0,Survey,Direct Count,Medium
Uganda,East Africa,2021,Healthy & Safe Living,People with health access,5067,6078,6139,101.0,21.2,Admin Records,Direct Count,High
Uganda,East Africa,2021,Healthy & Safe Living,Vaccination rate (%),4615,5934,4494,75.7,-2.6,Remote Sensing,Direct Count,Medium
Uganda,East Africa,2021,Healthy & Safe Living,Malnutrition cases treated,2728,3610,2752,76.2,0.9,Remote Sensing,Key Informant,Medium
Uganda,East Africa,2021,Migration & Identity,Migrants assisted,2287,3384,2024,59.8,-11.5,Survey,Key Informant,Low
Uganda,East Africa,2021,Migration & Identity,Stateless persons supported,8061,10926,11316,103.6,40.4,Remote Sensing,Key Informant,Low
Uganda,East Africa,2021,Migration & Identity,Legal documents issued,8450,11406,7717,67.7,-8.7,Admin Records,Household Survey,Medium
Uganda,East Africa,2021,Values & Dignity,GBV survivors supported,6175,8359,7839,93.8,26.9,Partner Report,Household Survey,Medium
Uganda,East Africa,2021,Values & Dignity,Mental health sessions,8562,10891,9644,88.6,12.6,Partner Report,Direct Count,High
Uganda,East Africa,2021,Values & Dignity,Protection cases resolved,1131,1691,1375,81.3,21.6,Survey,Key Informant,Medium
Uganda,East Africa,2021,Economic Security,HHs with improved income,4230,5244,4091,78.0,-3.3,Admin Records,Key Informant,Low
Uganda,East Africa,2021,Economic Security,Savings group members,8243,9969,9372,94.0,13.7,Survey,Key Informant,High
Uganda,East Africa,2021,Economic Security,Jobs created or maintained,5463,7256,8209,113.1,50.3,Remote Sensing,Focus Group,High
Uganda,East Africa,2022,Climate & Environment,Communities with DRR plans,7981,10743,10364,96.5,29.9,Admin Records,Key Informant,High
Uganda,East Africa,2022,Climate & Environment,Early warning systems active,5119,6846,5901,86.2,15.3,Remote Sensing,Focus Group,Low
Uganda,East Africa,2022,Climate & Environment,Hectares of land restored,4555,5420,5605,103.4,23.1,Admin Records,Direct Count,Low
Uganda,East Africa,2022,Healthy & Safe Living,People with health access,9956,11595,13485,116.3,35.4,Partner Report,Household Survey,Medium
Uganda,East Africa,2022,Healthy & Safe Living,Vaccination rate (%),7830,8746,6532,74.7,-16.6,Admin Records,Key Informant,Medium
Uganda,East Africa,2022,Healthy & Safe Living,Malnutrition cases treated,850,978,895,91.5,5.3,Partner Report,Focus Group,Medium
Uganda,East Africa,2022,Migration & Identity,Migrants assisted,4051,4849,3474,71.6,-14.2,Partner Report,Direct Count,High
Uganda,East Africa,2022,Migration & Identity,Stateless persons supported,7158,8349,9521,114.0,33.0,Survey,Household Survey,High
Uganda,East Africa,2022,Migration & Identity,Legal documents issued,9359,11538,11220,97.2,19.9,Admin Records,Key Informant,Medium
Uganda,East Africa,2022,Values & Dignity,GBV survivors supported,818,1088,964,88.6,17.8,Admin Records,Direct Count,Medium
Uganda,East Africa,2022,Values & Dignity,Mental health sessions,8865,10059,8159,81.1,-8.0,Survey,Household Survey,Low
Uganda,East Africa,2022,Values & Dignity,Protection cases resolved,9087,13249,12833,96.9,41.2,Remote Sensing,Key Informant,High
Uganda,East Africa,2022,Economic Security,HHs with improved income,3614,4725,6204,131.3,71.7,Admin Records,Focus Group,High
Uganda,East Africa,2022,Economic Security,Savings group members,699,876,1118,127.6,59.9,Partner Report,Household Survey,Low
Uganda,East Africa,2022,Economic Security,Jobs created or maintained,6803,10022,7899,78.8,16.1,Survey,Focus Group,Low
Uganda,East Africa,2023,Climate & Environment,Communities with DRR plans,9744,13040,6414,49.2,-34.2,Remote Sensing,Key Informant,High
Uganda,East Africa,2023,Climate & Environment,Early warning systems active,5683,7705,7149,92.8,25.8,Admin Records,Household Survey,High
Uganda,East Africa,2023,Climate & Environment,Hectares of land restored,4201,5370,4525,84.3,7.7,Admin Records,Household Survey,Medium
Uganda,East Africa,2023,Healthy & Safe Living,People with health access,4639,6947,5225,75.2,12.6,Admin Records,Household Survey,Medium
Uganda,East Africa,2023,Healthy & Safe Living,Vaccination rate (%),3644,4079,4211,103.2,15.6,Remote Sensing,Focus Group,High
Uganda,East Africa,2023,Healthy & Safe Living,Malnutrition cases treated,1553,2111,2043,96.8,31.6,Admin Records,Focus Group,High
Uganda,East Africa,2023,Migration & Identity,Migrants assisted,7097,9424,7300,77.5,2.9,Partner Report,Focus Group,Medium
Uganda,East Africa,2023,Migration & Identity,Stateless persons supported,9214,10472,12455,118.9,35.2,Admin Records,Household Survey,Low
Uganda,East Africa,2023,Migration & Identity,Legal documents issued,1697,2519,3067,121.8,80.7,Survey,Focus Group,High
Uganda,East Africa,2023,Values & Dignity,GBV survivors supported,2919,3831,2841,74.2,-2.7,Admin Records,Key Informant,Low
Uganda,East Africa,2023,Values & Dignity,Mental health sessions,840,942,795,84.4,-5.4,Admin Records,Key Informant,High
Uganda,East Africa,2023,Values & Dignity,Protection cases resolved,3338,4488,5330,118.8,59.7,Admin Records,Focus Group,Medium
Uganda,East Africa,2023,Economic Security,HHs with improved income,1103,1260,935,74.2,-15.2,Remote Sensing,Key Informant,Low
Uganda,East Africa,2023,Economic Security,Savings group members,2303,3035,2730,90.0,18.5,Survey,Household Survey,Low
Uganda,East Africa,2023,Economic Security,Jobs created or maintained,3445,4551,4314,94.8,25.2,Partner Report,Focus Group,Low
Uganda,East Africa,2024,Climate & Environment,Communities with DRR plans,7174,8607,8549,99.3,19.2,Admin Records,Household Survey,High
Uganda,East Africa,2024,Climate & Environment,Early warning systems active,7861,11440,14013,122.5,78.3,Remote Sensing,Household Survey,High
Uganda,East Africa,2024,Climate & Environment,Hectares of land restored,6236,7281,8136,111.7,30.5,Survey,Key Informant,Low
Uganda,East Africa,2024,Healthy & Safe Living,People with health access,6987,10083,8597,85.3,23.0,Survey,Household Survey,High
Uganda,East Africa,2024,Healthy & Safe Living,Vaccination rate (%),3569,5155,4850,94.1,35.9,Survey,Key Informant,Medium
Uganda,East Africa,2024,Healthy & Safe Living,Malnutrition cases treated,1876,2430,2347,96.6,25.1,Remote Sensing,Key Informant,Low
Uganda,East Africa,2024,Migration & Identity,Migrants assisted,2822,3876,2745,70.8,-2.7,Partner Report,Focus Group,Medium
Uganda,East Africa,2024,Migration & Identity,Stateless persons supported,2678,3253,2185,67.2,-18.4,Admin Records,Direct Count,Medium
Uganda,East Africa,2024,Migration & Identity,Legal documents issued,2920,3438,2809,81.7,-3.8,Remote Sensing,Focus Group,Medium
Uganda,East Africa,2024,Values & Dignity,GBV survivors supported,4363,5482,5130,93.6,17.6,Admin Records,Household Survey,High
Uganda,East Africa,2024,Values & Dignity,Mental health sessions,6748,9165,7860,85.8,16.5,Partner Report,Direct Count,Low
Uganda,East Africa,2024,Values & Dignity,Protection cases resolved,7716,9893,4376,44.2,-43.3,Survey,Household Survey,Low
Uganda,East Africa,2024,Economic Security,HHs with improved income,2177,2597,1881,72.4,-13.6,Survey,Key Informant,Low
Uganda,East Africa,2024,Economic Security,Savings group members,8841,11092,14269,128.6,61.4,Survey,Direct Count,Medium
Uganda,East Africa,2024,Economic Security,Jobs created or maintained,9613,13503,17344,128.4,80.4,Admin Records,Household Survey,Low
Uganda,East Africa,2025,Climate & Environment,Communities with DRR plans,3045,3786,3738,98.7,22.8,Admin Records,Key Informant,High
Uganda,East Africa,2025,Climate & Environment,Early warning systems active,931,1382,1628,117.8,74.9,Survey,Key Informant,Low
Uganda,East Africa,2025,Climate & Environment,Hectares of land restored,9148,11472,12991,113.2,42.0,Survey,Focus Group,Low
Uganda,East Africa,2025,Healthy & Safe Living,People with health access,8907,10099,11158,110.5,25.3,Survey,Focus Group,Medium
Uganda,East Africa,2025,Healthy & Safe Living,Vaccination rate (%),5540,8199,7438,90.7,34.3,Admin Records,Key Informant,High
Uganda,East Africa,2025,Healthy & Safe Living,Malnutrition cases treated,7107,8756,6219,71.0,-12.5,Remote Sensing,Key Informant,High
Uganda,East Africa,2025,Migration & Identity,Migrants assisted,3712,4721,4823,102.2,29.9,Survey,Key Informant,Low
Uganda,East Africa,2025,Migration & Identity,Stateless persons supported,7347,9426,8654,91.8,17.8,Survey,Direct Count,Low
Uganda,East Africa,2025,Migration & Identity,Legal documents issued,9057,13541,9129,67.4,0.8,Survey,Focus Group,Medium
Uganda,East Africa,2025,Values & Dignity,GBV survivors supported,2797,3289,3079,93.6,10.1,Partner Report,Focus Group,High
Uganda,East Africa,2025,Values & Dignity,Mental health sessions,642,890,778,87.4,21.2,Survey,Household Survey,Low
Uganda,East Africa,2025,Values & Dignity,Protection cases resolved,496,575,438,76.2,-11.7,Survey,Household Survey,Medium
